gvkey,entity_pname,has_funda_data,conm,sic,naics,spcindcd,spcseccd,fic
001059,"A.P.S., Inc.",True,A P S INC,5010,236210,130,976,USA
001623,Amsted Industries Inc.,True,AMSTED INDUSTRIES,3320,221320,460,970,USA
001628,Anaconda Co. (The),True,ANACONDA CO,3310,212111,460,970,USA
001692,Apollo Computer Inc.,True,APOLLO COMPUTER INC,3571,334111,190,940,USA
001726,ARCO Pipeline Co.,True,ARCO PIPELINE CO,4610,221210,395,935,USA
001803,Associated Dry Goods Corp.,True,ASSOCIATED DRY GOODS CORP,5311,452110,430,976,USA
001921,Avondale Mills Inc.,True,AVONDALE MILLS INC,2200,313,468,976,USA
001967,Prudential Equity Group LLC,True,BACHE GROUP INC,6211,,822,800,USA
001993,Baltimore & Ohio Railroad Co.,True,BALTIMORE & OHIO RAILROAD CO,4011,482111,610,600,USA
002001,Popular Inc.,True,BANPONCE CORP-OLD,6020,522110,817,800,USA
002018,Bank Leumi le-Israel B.M.,False,,,,,,
002042,Barclays American Corp.,True,BARCLAYSAMERICANCORPORATION,6141,522220,845,800,USA
002099,Harry & David Operations Corp.,True,BEAR CREEK CORP,0100,454110,112,970,USA
002102,Beatrice Co.,True,BEATRICE COS INC,2000,311,250,978,USA
002195,BI-LO LLC,True,BI-LO INC,5411,,440,978,USA
002321,Transamerica Commercial Finance Corp.,True,TRANSAMERICA COMML FINL CP,6153,522298,850,800,USA
002434,Brown Co.,True,BROWN CO,2600,,400,970,USA
002500,UTGR Inc.,True,BURRILLVILLE RACING ASSN,7948,,262,976,USA
002627,Blackstone Mortgage Trust Inc.,True,CALIFORNIA REAL ESTATE-OLD,6798,525930,850,800,USA
002629,California-Western States Life Insurance Co.,True,CALIF-WSTRN STATES LIFE INS,6311,,825,800,USA
002664,Earthgrains Co. (The),True,CAMPBELL TAGGART INC,2050,,250,978,USA
002664,Campbell Taggart Inc.,True,CAMPBELL TAGGART INC,2050,,250,978,USA
002700,Canadian Reynolds Metals Co. Ltd.,True,CANADIAN REYNOLDS METAL,3330,,358,925,USA
002706,Canadian Pacific Enterprises Ltd.,True,CANADIAN PACIFIC ENTERPRISES,3312,331111,460,970,CAN
002779,Clinchfield Railroad Co.,True,CAROLINA CLINCHFIELD OHIO RY,6519,531190,305,976,USA
002789,Carrier Global Corp.,True,CARRIER CORP,3585,,345,925,USA
002894,CCC Intelligent Solutions Inc.,True,CCC INFORMATION SERVICES INC,6411,524210,330,800,USA
002977,Chesapeake & Ohio Railway Co.,True,CHESAPEAKE & OHIO RAILWAY CO,4011,482111,610,600,USA
003067,Oxy USA Inc.,True,CITIES SERVICE CO,1311,211111,380,935,USA
003176,Collins & Aikman Corp.,True,COLLINS & AIKMAN CORP  -OLD,2221,313210,468,976,USA
